Starting source
Ciclo 0 finalizado.
Ciclo 1 finalizado.
Recebido de loadbalance1:2000 no ciclo 0: 0;1;1748183821.404395;1748183821.404874;1748183821.405624;1748183857.990756
Recebido de loadbalance2:2100 no ciclo 0: 0;2;1748183822.405029;1748183822.405591;1748183822.406521;1748183894.485175
Recebido de loadbalance1:2000 no ciclo 0: 0;3;1748183823.406124;1748183823.408156;1748183823.409848;1748183926.167587
Recebido de loadbalance2:2100 no ciclo 0: 0;4;1748183824.40842;1748183824.40954;1748183824.410974;1748183964.427637
Recebido de loadbalance1:2000 no ciclo 0: 0;5;1748183825.409863;1748183825.410867;1748183825.412244;1748183997.316319
Recebido de loadbalance2:2100 no ciclo 0: 0;6;1748183826.411099;1748183826.412445;1748183826.413651;1748184041.154894
Recebido de loadbalance1:2000 no ciclo 0: 0;7;1748183827.412631;1748183827.413478;1748183827.415481;1748184082.63027
Recebido de loadbalance2:2100 no ciclo 0: 0;8;1748183828.41388;1748183828.415058;1748183828.41883;1748184113.019627
Recebido de loadbalance1:2000 no ciclo 0: 0;9;1748183829.415469;1748183829.416671;1748183829.418261;1748184159.054162
Recebido de loadbalance2:2100 no ciclo 0: 0;10;1748183830.41649;1748183830.417357;1748183830.418095;1748184205.399753
Recebido de loadbalance1:2000 no ciclo 1: 1;1;1748183831.419093;1748183831.420696;1748183831.423212;1748184224.029196
Recebido de loadbalance2:2100 no ciclo 1: 1;2;1748183832.420725;1748183832.422152;1748183832.423497;1748184251.708457
Recebido de loadbalance1:2000 no ciclo 1: 1;3;1748183833.421994;1748183833.422939;1748183833.423906;1748184280.271537
Recebido de loadbalance2:2100 no ciclo 1: 1;4;1748183834.423746;1748183834.424944;1748183834.426389;1748184347.678055
Recebido de loadbalance1:2000 no ciclo 1: 1;5;1748183835.425129;1748183835.426366;1748183835.428159;1748184389.68543
Recebido de loadbalance2:2100 no ciclo 1: 1;6;1748183836.42684;1748183836.428132;1748183836.429462;1748184431.497475
Recebido de loadbalance1:2000 no ciclo 1: 1;7;1748183837.428449;1748183837.430744;1748183837.432343;1748184471.588691
Recebido de loadbalance2:2100 no ciclo 1: 1;8;1748183838.431785;1748183838.433116;1748183838.43496;1748184508.00739
Recebido de loadbalance1:2000 no ciclo 1: 1;9;1748183839.433372;1748183839.434361;1748183839.434889;1748184547.693125
Recebido de loadbalance2:2100 no ciclo 1: 1;10;1748183840.434991;1748183840.436242;1748183840.437649;1748184592.351591
